text,label
הכותב המוערך שילם מחיר יקר על סדרת ספרי האפנתזמה שכתב,0
חברת הטכנולוגיה הידועה הוציאה לשוק מכשיר חדש ומהפכני,0
פתאום הים התחיל להתגבש והגלים הגבירו,0
בסוף היום נכנסתי למיטה והרגשתי שהיום עבר במהירות,0
אני לא רוצה להיות לבד אני מעדיף לחלוק את החיים עם מישהו יקר לי,0
הרופא שמטפל בי דואג ומתייעץ תמיד על ההתקדמות של הטיפול,0
אני אוהב ללכת לטיולים ביער ולשבת ליד הפנים הטהורים,0
יש לי הרגשה שהחיים מציעים לנו את הפתרונות שאנחנו מחפשים,0
העיר בה אני גר היא מלאה באופי ובפנטזיה,0
אני רוצה לשפר את היכולת שלי לדבר בצרפתית,0
החברה המתקדמת ממשיכה לחדש ולשפר את המוצרים שלה,0
אני אוהב לעשות מתמטיקה ולפתור חידות מעניינות,0
במסעדה החדשה שפתחה בשכונה התנסיתי במנה מיוחדת וטעימה,0
תחום העניין גיליתי את התעניינותי בספורט חדש שלא ניסיתי קודם,0
רגע לפני השקיעה צפיתי בנוף ההרים היפים והמרהיבים,0
בכל ביקור בעיר זו אני נהנה להתארח בבית המקסים,0
אני רוצה להתקדם בעבודה שלי ולהיות מוערך על הידע והכישורים שלי,0
אני נהנית מהרגעים שאני נשבת לצד החברים הטובים שלי,0
חלמתי לפתוח עסק משלי והיום אני מתקרב למימוש החלום,0
התרבות והאמנות מעניינות אותי ואני תמיד חוקר ומתעניין,0
בפעם הראשונה הצלחתי לכתוב סיפור מרגש ומעורר רגשות,0
המדע והמחקר מלמדים אותי להיות חדשני ולחשוב בצורה יצירתית,0
השיר ששמעתי אתמול באוזניים עדיין מרקם לי בראש,0
ביקור במסעדה היוקרתית זו חוויה מיוחדת שאני אוהב לחזור אליה,0
בחצי השנה האחרונה נסעתי לפחות שלוש פעמים לחו ל לחופשה מולקת,0
האומנות שלי היא ליצור מקום נעים ומזמין בבית באמצעות היכונות יפות וצבעוניות,0
אני נוהג יחד ללכת עם הכלב לפארק לטייל ולהתנשם אוויר טהור,0
הפרק האחרון בסדרת הטלוויזיה גרם לי להתרגש ולצמוח איתה,0
בבוקר אני אוהב לשתות קפה חם ולקרוא את העיתון,0
אני אוהב להקשיב למוזיקה ולשיר יחד עם האמנים האהובים עלי,0
אני מתעניין בטכנולוגיה ומבקר באתרי טכנולוגיה באינטרנט,0
אני נוהג להתאמן בחדר כושר כדי לשמור על גוף בריא וכושר גופני,0
אני אוהב לארח את החברים לארוחות מסודרות וטעימות בביתי,0
היום יום עובר במהירות אני צריך לקחת נשימה עמוקה ולהיותך,0
אני נהנה לעבוד בגינה ולגדל ירקות ופרחים,0
אני מתעניין במדעי המחשב וקוד ומתנסה בכתיבת אפליקציות משלי,0
ההופעה של הלהקה המוזיקלית הייתה מרהיבה ומסעירה והתקהלויות היו מלאות באנשים,0
וכפר אהרן על קרנתיו אחת בשנה מדם חטאת הכפרים אחת בשנה יכפר עליו לדרתיכם קדש קדשים הוא ליהוה,1
וידבר יהוה אל משה לאמר,1
כי תשא את ראש בני ישראל לפקדיהם ונתנו איש כפר נפשו ליהוה בפקד אתם ולא יהיה בהם נגף בפקד אתם,1
זה יתנו כל העבר על הפקדים מחצית השקל בשקל הקדש עשרים גרה השקל מחצית השקל תרומה ליהוה,1
כל העבר על הפקדים מבן עשרים שנה ומעלה יתן תרומת יהוה,1
העשיר לא ירבה והדל לא ימעיט ממחצית השקל לתת את תרומת יהוה לכפר על נפשתיכם,1
ולקחת את כסף הכפרים מאת בני ישראל ונתת אתו על עבדת אהל מועד והיה לבני ישראל לזכרון לפני יהוה לכפר על נפשתיכם,1
וידבר יהוה אל משה לאמר,1
ועשית כיור נחשת וכנו נחשת לרחצה ונתת אתו בין אהל מועד ובין המזבח ונתת שמה מים,1
ורחצו אהרן ובניו ממנו את ידיהם ואת רגליהם,1
בבאם אל אהל מועד ירחצו מים ולא ימתו או בגשתם אל המזבח לשרת להקטיר אשה ליהוה,1
ורחצו ידיהם ורגליהם ולא ימתו והיתה להם חק עולם לו ולזרעו לדרתם,1
וידבר יהוה אל משה לאמר,1
ואתה קח לך בשמים ראש מר דרור חמש מאות וקנמן בשם מחציתו חמשים ומאתים וקנה בשם חמשים ומאתים,1
וקדה חמש מאות בשקל הקדש ושמן זית הין,1
ועשית אתו שמן משחת קדש רקח מרקחת מעשה רקח שמן משחת קדש יהיה,1
ומשחת בו את אהל מועד ואת ארון העדת,1
ואת השלחן ואת כל כליו ואת המנרה ואת כליה ואת מזבח הקטרת,1
ואת מזבח העלה ואת כל כליו ואת הכיר ואת כנו,1
וקדשת אתם והיו קדש קדשים כל הנגע בהם יקדש,1
ואת אהרן ואת בניו תמשח וקדשת אתם לכהן לי,1
ואל בני ישראל תדבר לאמר שמן משחת קדש יהיה זה לי לדרתיכם,1
על בשר אדם לא ייסך ובמתכנתו לא תעשו כמהו קדש הוא קדש יהיה לכם,1
איש אשר ירקח כמהו ואשר יתן ממנו על זר ונכרת מעמיו  ויאמר יהוה אל משה קח לך סמים נטף ושחלת וחלבנה סמים ולבנה זכה בד בבד יהיה,1
ועשית אתה קטרת רקח מעשה רוקח ממלח טהור קדש,1
ושחקת ממנה הדק ונתתה ממנה לפני העדת באהל מועד אשר אועד לך שמה קדש קדשים תהיה לכם,1
והקטרת אשר תעשה במתכנתה לא תעשו לכם קדש תהיה לך ליהוה,1
איש אשר יעשה כמוה להריח בה ונכרת מעמיו,1
וידבר יהוה אל משה לאמר,1
ראה קראתי בשם בצלאל בן אורי בן חור למטה יהודה,1
ואמלא אתו רוח אלהים בחכמה ובתבונה ובדעת ובכל מלאכה,1
לחשב מחשבת לעשות בזהב ובכסף ובנחשת,1
ובחרשת אבן למלאת ובחרשת עץ לעשות בכל מלאכה,1
ואני הנה נתתי אתו את אהליאב בן אחיסמך למטה דן ובלב כל חכם לב נתתי חכמה ועשו את כל אשר צויתך,1
את אהל מועד ואת הארן לעדת ואת הכפרת אשר עליו ואת כל כלי האהל,1
ואת השלחן ואת כליו ואת המנרה הטהרה ואת כל כליה ואת מזבח הקטרת,1
ואת מזבח העלה ואת כל כליו ואת הכיור ואת כנו,1
ואת בגדי השרד ואת בגדי הקדש לאהרן הכהן ואת בגדי בניו לכהן,1
ואת שמן המשחה ואת קטרת הסמים לקדש ככל אשר צויתך יעשו,1
ויאמר יהוה אל משה לאמר,1
ואתה דבר אל בני ישראל לאמר אך את שבתתי תשמרו כי אות הוא ביני וביניכם לדרתיכם לדעת כי אני יהוה מקדשכם,1
ושמרתם את השבת כי קדש הוא לכם מחלליה מות יומת כי כל העשה בה מלאכה ונכרתה הנפש ההוא מקרב עמיה,1
ששת ימים יעשה מלאכה וביום השביעי שבת שבתון קדש ליהוה כל העשה מלאכה ביום השבת מות יומת,1
ושמרו בני ישראל את השבת לעשות את השבת לדרתם ברית עולם,1
ביני ובין בני ישראל אות הוא לעלם כי ששת ימים עשה יהוה את השמים ואת הארץ וביום השביעי שבת וינפש  ויתן אל משה ככלתו לדבר אתו בהר סיני שני לחת העדת לחת אבן כתבים באצבע אלהים,1
וירא העם כי בשש משה לרדת מן ההר ויקהל העם על אהרן ויאמרו אליו קום עשה לנו אלהים אשר ילכו לפנינו כי זה משה האיש אשר העלנו מארץ מצרים לא ידענו מה היה לו,1
ויאמר אלהם אהרן פרקו נזמי הזהב אשר באזני נשיכם בניכם ובנתיכם והביאו אלי,1
ויתפרקו כל העם את נזמי הזהב אשר באזניהם ויביאו אל אהרן,1
ויקח מידם ויצר אתו בחרט ויעשהו עגל מסכה ויאמרו אלה אלהיך ישראל אשר העלוך מארץ מצרים,1
וירא אהרן ויבן מזבח לפניו ויקרא אהרן ויאמר חג ליהוה מחר,1
וישכימו ממחרת ויעלו עלת ויגשו שלמים וישב העם לאכל ושתו ויקמו לצחק,1
וידבר יהוה אל משה לך רד כי שחת עמך אשר העלית מארץ מצרים,1
סרו מהר מן הדרך אשר צויתם עשו להם עגל מסכה וישתחוו לו ויזבחו לו ויאמרו אלה אלהיך ישראל אשר העלוך מארץ מצרים,1
ויאמר יהוה אל משה ראיתי את העם הזה והנה עם קשה ערף הוא,1
ועתה הניחה לי ויחר אפי בהם ואכלם ואעשה אותך לגוי גדול,1
ויחל משה את פני יהוה אלהיו ויאמר למה יהוה יחרה אפך בעמך אשר הוצאת מארץ מצרים בכח גדול וביד חזקה,1
למה יאמרו מצרים לאמר ברעה הוציאם להרג אתם בהרים ולכלתם מעל פני האדמה שוב מחרון אפך והנחם על הרעה לעמך,1
זכר לאברהם ליצחק ולישראל עבדיך אשר נשבעת להם בך ותדבר אלהם ארבה את זרעכם ככוכבי השמים וכל הארץ הזאת אשר אמרתי אתן לזרעכם ונחלו לעלם,1
וינחם יהוה על הרעה אשר דבר לעשות לעמו,1
ויפן וירד משה מן ההר ושני לחת העדת בידו לחת כתבים משני עבריהם מזה ומזה הם כתבים,1
והלחת מעשה אלהים המה והמכתב מכתב אלהים הוא חרות על הלחת,1
וישמע יהושע את קול העם ברעה ויאמר אל משה קול מלחמה במחנה,1
ויאמר אין קול ענות גבורה ואין קול ענות חלושה קול ענות אנכי שמע,1
ויהי כאשר קרב אל המחנה וירא את העגל ומחלת ויחר אף משה וישלך מידו [מידיו] את הלחת וישבר אתם תחת ההר,1
ויקח את העגל אשר עשו וישרף באש ויטחן עד אשר דק ויזר על פני המים וישק את בני ישראל,1
ויאמר משה אל אהרן מה עשה לך העם הזה כי הבאת עליו חטאה גדלה,1
ויאמר אהרן אל יחר אף אדני אתה ידעת את העם כי ברע הוא,1
ויאמרו לי עשה לנו אלהים אשר ילכו לפנינו כי זה משה האיש אשר העלנו מארץ מצרים לא ידענו מה היה לו,1
ואמר להם למי זהב התפרקו ויתנו לי ואשלכהו באש ויצא העגל הזה,1
וירא משה את העם כי פרע הוא כי פרעה אהרן לשמצה בקמיהם,1
ויעמד משה בשער המחנה ויאמר מי ליהוה אלי ויאספו אליו כל בני לוי,1
ויאמר להם כה אמר יהוה אלהי ישראל שימו איש חרבו על ירכו עברו ושובו משער לשער במחנה והרגו איש את אחיו ואיש את רעהו ואיש את קרבו,1
ויעשו בני לוי כדבר משה ויפל מן העם ביום ההוא כשלשת אלפי איש,1
ויאמר משה מלאו ידכם היום ליהוה כי איש בבנו ובאחיו ולתת עליכם היום ברכה,1
ויהי ממחרת ויאמר משה אל העם אתם חטאתם חטאה גדלה ועתה אעלה אל יהוה אולי אכפרה בעד חטאתכם,1
וישב משה אל יהוה ויאמר אנא חטא העם הזה חטאה גדלה ויעשו להם אלהי זהב,1
ועתה אם תשא חטאתם ואם אין מחני נא מספרך אשר כתבת,1
ויאמר יהוה אל משה מי אשר חטא לי אמחנו מספרי,1
ועתה לך נחה את העם אל אשר דברתי לך הנה מלאכי ילך לפניך וביום פקדי ופקדתי עליהם חטאתם,1
ויגף יהוה את העם על אשר עשו את העגל אשר עשה אהרן,1
וידבר יהוה אל משה לך עלה מזה אתה והעם אשר העלית מארץ מצרים אל הארץ אשר נשבעתי לאברהם ליצחק וליעקב לאמר לזרעך אתננה,1
ושלחתי לפניך מלאך וגרשתי את הכנעני האמרי והחתי והפרזי החוי והיבוסי,1
אל ארץ זבת חלב ודבש כי לא אעלה בקרבך כי עם קשה ערף אתה פן אכלך בדרך,1
וישמע העם את הדבר הרע הזה ויתאבלו ולא שתו איש עדיו עליו,1
ויאמר יהוה אל משה אמר אל בני ישראל אתם עם קשה ערף רגע אחד אעלה בקרבך וכליתיך ועתה הורד עדיך מעליך ואדעה מה אעשה לך,1
ויתנצלו בני ישראל את עדים מהר חורב,1
ומשה יקח את האהל ונטה לו מחוץ למחנה הרחק מן המחנה וקרא לו אהל מועד והיה כל מבקש יהוה יצא אל אהל מועד אשר מחוץ למחנה,1
והיה כצאת משה אל האהל יקומו כל העם ונצבו איש פתח אהלו והביטו אחרי משה עד באו האהלה,1
והיה כבא משה האהלה ירד עמוד הענן ועמד פתח האהל ודבר עם משה,1
וראה כל העם את עמוד הענן עמד פתח האהל וקם כל העם והשתחוו איש פתח אהלו,1
ודבר יהוה אל משה פנים אל פנים כאשר ידבר איש אל רעהו ושב אל המחנה ומשרתו יהושע בן נון נער לא ימיש מתוך האהל  ויאמר משה אל יהוה ראה אתה אמר אלי העל את העם הזה ואתה לא הודעתני את אשר תשלח עמי ואתה אמרת ידעתיך בשם וגם מצאת חן בעיני,1
ועתה אם נא מצאתי חן בעיניך הודעני נא את דרכך ואדעך למען אמצא חן בעיניך וראה כי עמך הגוי הזה,1
ויאמר פני ילכו והנחתי לך,1
ויאמר אליו אם אין פניך הלכים אל תעלנו מזה,1
ובמה יודע אפוא כי מצאתי חן בעיניך אני ועמך הלוא בלכתך עמנו ונפלינו אני ועמך מכל העם אשר על פני האדמה,1
ויאמר יהוה אל משה גם את הדבר הזה אשר דברת אעשה כי מצאת חן בעיני ואדעך בשם,1
ויאמר הראני נא את כבדך,1
ויאמר אני אעביר כל טובי על פניך וקראתי בשם יהוה לפניך וחנתי את אשר אחן ורחמתי את אשר ארחם,1
ויאמר לא תוכל לראת את פני כי לא יראני האדם וחי,1
ויאמר יהוה הנה מקום אתי ונצבת על הצור,1
והיה בעבר כבדי ושמתיך בנקרת הצור ושכתי כפי עליך עד עברי,1
והסרתי את כפי וראית את אחרי ופני לא יראו,1
ויאמר יהוה אל משה פסל לך שני לחת אבנים כראשנים וכתבתי על הלחת את הדברים אשר היו על הלחת הראשנים אשר שברת,1
והיה נכון לבקר ועלית בבקר אל הר סיני ונצבת לי שם על ראש ההר,1
ואיש לא יעלה עמך וגם איש אל ירא בכל ההר גם הצאן והבקר אל ירעו אל מול ההר ההוא,1
ויפסל שני לחת אבנים כראשנים וישכם משה בבקר ויעל אל הר סיני כאשר צוה יהוה אתו ויקח בידו שני לחת אבנים,1
וירד יהוה בענן ויתיצב עמו שם ויקרא בשם יהוה,1
ויעבר יהוה על פניו ויקרא יהוה יהוה אל רחום וחנון ארך אפים ורב חסד ואמת,1
נצר חסד לאלפים נשא עון ופשע וחטאה ונקה לא ינקה פקד עון אבות על בנים ועל בני בנים על שלשים ועל רבעים,1
וימהר משה ויקד ארצה וישתחו,1
ויאמר אם נא מצאתי חן בעיניך אדני ילך נא אדני בקרבנו כי עם קשה ערף הוא וסלחת לעוננו ולחטאתנו ונחלתנו,1
ויאמר הנה אנכי כרת ברית נגד כל עמך אעשה נפלאת אשר לא נבראו בכל הארץ ובכל הגוים וראה כל העם אשר אתה בקרבו את מעשה יהוה כי נורא הוא אשר אני עשה עמך,1
שמר לך את אשר אנכי מצוך היום הנני גרש מפניך את האמרי והכנעני והחתי והפרזי והחוי והיבוסי,1
השמר לך פן תכרת ברית ליושב הארץ אשר אתה בא עליה פן יהיה למוקש בקרבך,1
כי את מזבחתם תתצון ואת מצבתם תשברון ואת אשריו תכרתון,1
כי לא תשתחוה לאל אחר כי יהוה קנא שמו אל קנא הוא,1
פן תכרת ברית ליושב הארץ וזנו אחרי אלהיהם וזבחו לאלהיהם וקרא לך ואכלת מזבחו,1
ולקחת מבנתיו לבניך וזנו בנתיו אחרי אלהיהן והזנו את בניך אחרי אלהיהן,1
אלהי מסכה לא תעשה לך,1
את חג המצות תשמר שבעת ימים תאכל מצות אשר צויתך למועד חדש האביב כי בחדש האביב יצאת ממצרים,1
כל פטר רחם לי וכל מקנך תזכר פטר שור ושה,1
ופטר חמור תפדה בשה ואם לא תפדה וערפתו כל בכור בניך תפדה ולא יראו פני ריקם,1
ששת ימים תעבד וביום השביעי תשבת בחריש ובקציר תשבת,1
וחג שבעת תעשה לך בכורי קציר חטים וחג האסיף תקופת השנה,1
שלש פעמים בשנה יראה כל זכורך את פני האדן יהוה אלהי ישראל,1
כי אוריש גוים מפניך והרחבתי את גבולך ולא יחמד איש את ארצך בעלתך לראות את פני יהוה אלהיך שלש פעמים בשנה,1
לא תשחט על חמץ דם זבחי ולא ילין לבקר זבח חג הפסח,1
ראשית בכורי אדמתך תביא בית יהוה אלהיך לא תבשל גדי בחלב אמו,1
ויאמר יהוה אל משה כתב לך את הדברים האלה כי על פי הדברים האלה כרתי אתך ברית ואת ישראל,1
ויהי שם עם יהוה ארבעים יום וארבעים לילה לחם לא אכל ומים לא שתה ויכתב על הלחת את דברי הברית עשרת הדברים,1
ויהי ברדת משה מהר סיני ושני לחת העדת ביד משה ברדתו מן ההר ומשה לא ידע כי קרן עור פניו בדברו אתו,1
וירא אהרן וכל בני ישראל את משה והנה קרן עור פניו וייראו מגשת אליו,1
ויקרא אלהם משה וישבו אליו אהרן וכל הנשאים בעדה וידבר משה אלהם,1
ואחרי כן נגשו כל בני ישראל ויצום את כל אשר דבר יהוה אתו בהר סיני,1
ויכל משה מדבר אתם ויתן על פניו מסוה,1
ובבא משה לפני יהוה לדבר אתו יסיר את המסוה עד צאתו ויצא ודבר אל בני ישראל את אשר יצוה,1
וראו בני ישראל את פני משה כי קרן עור פני משה והשיב משה את המסוה על פניו עד באו לדבר אתו,1
ויקהל משה את כל עדת בני ישראל ויאמר אלהם אלה הדברים אשר צוה יהוה לעשת אתם,1
ששת ימים תעשה מלאכה וביום השביעי יהיה לכם קדש שבת שבתון ליהוה כל העשה בו מלאכה יומת,1
לא תבערו אש בכל משבתיכם ביום השבת,1
ויאמר משה אל כל עדת בני ישראל לאמר זה הדבר אשר צוה יהוה לאמר,1
קחו מאתכם תרומה ליהוה כל נדיב לבו יביאה את תרומת יהוה זהב וכסף ונחשת,1
ותכלת וארגמן ותולעת שני ושש ועזים,1
וערת אילם מאדמים וערת תחשים ועצי שטים,1
ושמן למאור ובשמים לשמן המשחה ולקטרת הסמים,1
ואבני שהם ואבני מלאים לאפוד ולחשן,1
וכל חכם לב בכם יבאו ויעשו את כל אשר צוה יהוה,1
את המשכן את אהלו ואת מכסהו את קרסיו ואת קרשיו את בריחו את עמדיו ואת אדניו,1
את הארן ואת בדיו את הכפרת ואת פרכת המסך,1
את השלחן ואת בדיו ואת כל כליו ואת לחם הפנים,1
ואת מנרת המאור ואת כליה ואת נרתיה ואת שמן המאור,1
ואת מזבח הקטרת ואת בדיו ואת שמן המשחה ואת קטרת הסמים ואת מסך הפתח לפתח המשכן,1
את מזבח העלה ואת מכבר הנחשת אשר לו את בדיו ואת כל כליו את הכיר ואת כנו,1
את קלעי החצר את עמדיו ואת אדניה ואת מסך שער החצר,1
את יתדת המשכן ואת יתדת החצר ואת מיתריהם,1
את בגדי השרד לשרת בקדש את בגדי הקדש לאהרן הכהן ואת בגדי בניו לכהן,1
ויצאו כל עדת בני ישראל מלפני משה,1
ויבאו כל איש אשר נשאו לבו וכל אשר נדבה רוחו אתו הביאו את תרומת יהוה למלאכת אהל מועד ולכל עבדתו ולבגדי הקדש,1
ויבאו האנשים על הנשים כל נדיב לב הביאו חח ונזם וטבעת וכומז כל כלי זהב וכל איש אשר הניף תנופת זהב ליהוה,1
וכל איש אשר נמצא אתו תכלת וארגמן ותולעת שני ושש ועזים וערת אילם מאדמים וערת תחשים הביאו,1
כל מרים תרומת כסף ונחשת הביאו את תרומת יהוה וכל אשר נמצא אתו עצי שטים לכל מלאכת העבדה הביאו,1
וכל אשה חכמת לב בידיה טוו ויביאו מטוה את התכלת ואת הארגמן את תולעת השני ואת השש,1
וכל הנשים אשר נשא לבן אתנה בחכמה טוו את העזים,1
והנשאם הביאו את אבני השהם ואת אבני המלאים לאפוד ולחשן,1
ואת הבשם ואת השמן למאור ולשמן המשחה ולקטרת הסמים,1
כל איש ואשה אשר נדב לבם אתם להביא לכל המלאכה אשר צוה יהוה לעשות ביד משה הביאו בני ישראל נדבה ליהוה,1
ויאמר משה אל בני ישראל ראו קרא יהוה בשם בצלאל בן אורי בן חור למטה יהודה,1
וימלא אתו רוח אלהים בחכמה בתבונה ובדעת ובכל מלאכה,1
ולחשב מחשבת לעשת בזהב ובכסף ובנחשת,1
ובחרשת אבן למלאת ובחרשת עץ לעשות בכל מלאכת מחשבת,1
ולהורת נתן בלבו הוא ואהליאב בן אחיסמך למטה דן,1
מלא אתם חכמת לב לעשות כל מלאכת חרש וחשב ורקם בתכלת ובארגמן בתולעת השני ובשש וארג עשי כל מלאכה וחשבי מחשבת,1
ועשה בצלאל ואהליאב וכל איש חכם לב אשר נתן יהוה חכמה ותבונה בהמה לדעת לעשת את כל מלאכת עבדת הקדש לכל אשר צוה יהוה,1
ויקרא משה אל בצלאל ואל אהליאב ואל כל איש חכם לב אשר נתן יהוה חכמה בלבו כל אשר נשאו לבו לקרבה אל המלאכה לעשת אתה,1
ויקחו מלפני משה את כל התרומה אשר הביאו בני ישראל למלאכת עבדת הקדש לעשת אתה והם הביאו אליו עוד נדבה בבקר בבקר,1
ויבאו כל החכמים העשים את כל מלאכת הקדש איש איש ממלאכתו אשר המה עשים,1
ויאמרו אל משה לאמר מרבים העם להביא מדי העבדה למלאכה אשר צוה יהוה לעשת אתה,1
ויצו משה ויעבירו קול במחנה לאמר איש ואשה אל יעשו עוד מלאכה לתרומת הקדש ויכלא העם מהביא,1
בהגה משטרית צבעונית של פרחים מקסים משדכם בגינה הייתה מרהיב,0
ואחרי ששטפתי את פני במים הקרים פתאום הרגשתי מנחמה ושקט,0
ובהופעה האחרונה של האמן המוערך הוא הופתע באור מצויין מהתגובות החיוביות של הקהל,0
השמש יצאה לאט מאחורי ההר והוא ישב בשקט ונהג באופנה הקסום,0
איזה תחושה מרגשת לראות את העין המקודשת ולהתאפק מלהבטיח את המים הנזורים,0
בשירת העופרת שלי אני מבטא את הרגשות העמוקים ביותר בלבי,0
האם תוכל לעזור לי למצוא את האיברון שלי?,0
בתרבות עברית הישנה מצויים הקשיים הפילולוגיים והמשמעותיים,0
מה עלי לעשות כדי להגיע ליעד הרצוי שלי?,0
על פי הספר הזה נכתבו דרכי המטייל,0
הרי הקופים כוללים בתוכם את חמש הפחמים,0
האדם מקבל בראש השנה את העומדים בשופר,0
כמה קומקומים חסרי פנים מופיעים בתמונה?,0
מהו הכלל הראשי המקנה את הציונים?,0
האם תקבל את האתגר המולקתי שלי?,0
האם יש לך רעיון חדש למשחק תפקידים?,0
האם יש לך רעיון למשהו מיוחד לעשות בסופ ש הקרוב?,0
איזה סיפור מרתק אתך במיוחד?,0
השאלה הזו מדהימה אותי ביופי ופשטותה,0
בדקנו את הפרמטרים והשוונו ביניהם,0
ובכל פעם שאני מסתכל על הציפורים באורנית הם נראים כאילו הם מתרקמים לביצים,0
וכשאני בספריית הבית יש לי תחושה חמימה וקסומה ביותר,0
האם תוכל לספק לי את הפתרון הזה עד סוף היום?,0
השאלה הזו תמיד כיף לתת לה,0
וכל פעם שאני נוסע לארוחת ערב אני מחכה למנה העיקרית עם תיקיות,0
האם תוכל לתת לי עצה למקרה החירום הזה?,0
תודה על השאלה המעניינת אני אתן עליה מחשבה טובה ואשיב לך,0
אני מאמין שבתודה יש כוח עצום ואני משתדל לומר תודה תמיד,0
כשאני נכנס לתיאטרון אני מרגיש את הכייף וההתרגשות על ההופעה,0
ואני מאמין שאני יכול להתמודד עם האתגרים המולקטים בפני,0
